ba_ref,prop_ba_rates,occupant_name,postcode,occupation_state,occupation_state_date,occupation_state_reliefs,la_code,rates_code,confidence,slug
51919023951768,810.0,20684 BARNSLEY MBC,S720AX,True,2000-04-01 01:00:00+01:00,,E08000016,51919023951768,100.0,XJJdjjpQgKbxmGv5ZqLQR279
52929008952976,1450.0,20684 BARNSLEY MBC,S754LY,True,2000-04-01 01:00:00+01:00,,E08000016,52929008952976,100.0,Jdfq9vDjLbQCpPSmL75qGgs5
53131009953275,590.0,20684 BARNSLEY MBC,S357AL,True,2000-04-01 01:00:00+01:00,,E08000016,53131009953275,100.0,5RfptnpMBHGIkNQGkk2FnJL7
50303218006617,2950.0,20684 BARNSLEY MBC,S638AG,True,2000-04-01 01:00:00+01:00,,E08000016,50303218006617,100.0,FbFIxM3dknjpgrNQfXxxzG37
50505162961977,24000.0,20688 BARNSLEY MBC,S748HJ,True,2000-04-01 01:00:00+01:00,,E08000016,50505162961977,100.0,cj9LtMQZMvqrpCnKzBRqvMv7
50505162982161,2025.0,20688 BARNSLEY MBC,S748HJ,True,2000-04-30 01:00:00+01:00,,E08000016,50505162982161,100.0,mGLxIJpLBzd3D7xt92CInHsD
50505162990603,2550.0,20688 BARNSLEY MBC,S748HJ,True,2000-04-01 01:00:00+01:00,,E08000016,50505162990603,100.0,zncZxGkd7TNBQcSNIIkntmJ2
50505162022544,4500.0,20688 BARNSLEY MBC,S748HJ,True,2000-04-01 01:00:00+01:00,,E08000016,50505162022544,100.0,LJrFbX9VnrRdT5j3vTshGMTB
50505162022555,3800.0,20688 BARNSLEY MBC,S748HJ,True,2004-12-01 00:00:00+00:00,,E08000016,50505162022555,100.0,KckPKB7tcHnjmTNNxss3QPs5
50505162048073,4000.0,20688 BARNSLEY MBC,S748HJ,True,2000-04-01 01:00:00+01:00,,E08000016,50505162048073,100.0,BmDsDccTzC3bqrP7HFhS2mtC
50505162049338,3650.0,20688 BARNSLEY MBC,S748HJ,True,2000-04-01 01:00:00+01:00,,E08000016,50505162049338,100.0,F3J2H5NKX7jDdMcIMGHCnxz7
50505162050711,1550.0,20688 BARNSLEY MBC,S748HJ,True,2000-04-01 01:00:00+01:00,,E08000016,50505162050711,100.0,TNpfHsxbccIHbbPLFzQ3gqdD
50505162050733,5400.0,20688 BARNSLEY MBC,S748HJ,True,2000-04-01 01:00:00+01:00,,E08000016,50505162050733,100.0,D3RNGpIsRzrB3IpCS9G2mpFF
50505162129653,1725.0,20688 BARNSLEY MBC,S748HJ,True,2003-11-01 00:00:00+00:00,,E08000016,50505162129653,100.0,mJfFrRRnqt2nhZCInCtcrgn5
50505162002438,9000.0,20688 BARNSLEY MBC,S748HJ,True,2010-12-11 00:00:00+00:00,,E08000016,50505162002438,100.0,hcNTHxL2NJjNFJmCnss2bgs3
50505162020695,660.0,20688 BARNSLEY MBC,S748HJ,True,2012-04-12 01:00:00+01:00,,E08000016,50505162020695,100.0,35bHpX55bQLMKIxxmfrJLv9D
50505162033847,3400.0,20688 BARNSLEY MBC,S748HJ,True,2014-04-01 01:00:00+01:00,,E08000016,50505162033847,100.0,2bPC7fvH7cmtPnfZHBLVKpPC
50505162059887,950.0,20688 BARNSLEY MBC,S748HJ,True,2014-04-01 01:00:00+01:00,,E08000016,50505162059887,100.0,KnqCx5btINXkm5tVxxj3sIrC
50505162059901,800.0,20688 BARNSLEY MBC,S748HJ,True,2014-04-01 01:00:00+01:00,,E08000016,50505162059901,100.0,R73XgKqxZmfN5fbVNqgds9I2
50505162059898,570.0,20688 BARNSLEY MBC,S748HJ,True,2014-04-01 01:00:00+01:00,,E08000016,50505162059898,100.0,RMHTVBxdrM9JXGBZpm3FcxCG
50505162033836,9600.0,20688 BARNSLEY MBC,S748HJ,True,2014-04-01 01:00:00+01:00,,E08000016,50505162033836,100.0,HCXjv9QndMSN3DLjfmkkqJhB
50505162004417,5400.0,20688 BARNSLEY MBC,S748HJ,True,2016-04-21 01:00:00+01:00,,E08000016,50505162004417,100.0,q95QJLrMs3mxtvLGqphpCTs2
50505162004192,1925.0,20688 BARNSLEY MBC,S748HJ,True,2014-11-21 00:00:00+00:00,,E08000016,50505162004192,100.0,PDPVNjpSxbVvBR3BL5VLnQLB
50505162962516,3250.0,20688 BARNSLEY MBC,S748HJ,True,2017-11-30 00:00:00+00:00,,E08000016,50505162962516,100.0,s2RvMRxrSLfgLmgqPSXV3kLD
50505162004416,2600.0,20688 BARNSLEY MBC,S748HJ,True,2018-10-17 01:00:00+01:00,,E08000016,50505162004416,100.0,Hv5Tf5J959TTch3mJ9Tb3ZkD
50505162990658,11750.0,20688 BMBC,S748HJ,True,2018-04-30 01:00:00+01:00,,E08000016,50505162990658,100.0,VLxmkSj7n3tXk7dqvbgxmHbC
50505162093034,2300.0,20688 BMBC,S748HJ,True,2020-06-30 01:00:00+01:00,,E08000016,50505162093034,100.0,KpF7sRSffpLrz2pcxzNh9G7G
50808139124363,25000.0,20689 BARNSLEY MBC,S705AW,True,2003-04-01 01:00:00+01:00,,E08000016,50808139124363,100.0,3PX2dFHLBLvzzJQGZdGBbnNF
50808139003469,1575.0,20689 BARNSLEY MBC,S705AW,True,2013-04-01 01:00:00+01:00,,E08000016,50808139003469,100.0,QH9rVBXn3VkqISxrzkGBIMh5
52222030007892,102000.0,20690 BARNSLEY MBC,S754AT,True,2018-11-01 00:00:00+00:00,,E08000016,52222030007892,100.0,mrcjHCV9jsCNzGZNzHP9bDr2
51212173007553,3400.0,20691 BARNSLEY MBC,S702EX,True,2019-08-12 01:00:00+01:00,,E08000016,51212173007553,100.0,shvXxfG3IcIHFtrSCkQh72QF
51100060938987,47250.0,20691 TRUSTEES COOPER ART,S702AH,True,2000-04-01 01:00:00+01:00,,E08000016,51100060938987,100.0,ZTTXnf2kpJkqpFXHfxHFdMkF
50303152918503,10000.0,20699 BARNSLEY MBC,S639HA,True,2000-04-01 01:00:00+01:00,,E08000016,50303152918503,100.0,XZdzCfbkmRMSbQQPnQ5TgTxB
50900029930154,5600.0,20701 BARNSLEY MBC,S366AB,True,2000-04-01 01:00:00+01:00,,E08000016,,,
50909172002338,7500.0,20701 BARNSLEY MBC,S366AB,True,2011-01-14 00:00:00+00:00,,E08000016,50909172002338,100.0,DpqXHkHgjsvJmVnmRVf7XsF7
50707065003301,3500.0,20702 BMBC,S730DA,True,2012-12-13 00:00:00+00:00,,E08000016,50707065003301,100.0,RXvXhxMkV2jgcdzpSc2fnrC9
51100057007461,34000.0,20703 BARNSLEY MBC,S701GW,True,2019-07-15 01:00:00+01:00,,E08000016,,,
51100057007462,20000.0,20703 BARNSLEY MBC,S701GW,True,2019-07-22 01:00:00+01:00,,E08000016,,,
51100057007463,6900.0,20703 BARNSLEY MBC,S701GW,True,2019-07-25 01:00:00+01:00,,E08000016,,,
51212170000635,1825.0,20704 ADELPHI TRANSLATIONS,S702JW,True,2020-10-19 01:00:00+01:00,,E08000016,51212170000635,100.0,jX7BQLz2HjfFkR7cJJxJ3cT2
51212170000633,4200.0,20704 BARNSLEY BMC,S702JW,True,2020-04-23 01:00:00+01:00,,E08000016,51212170000633,100.0,mxnCH5t3RLIQvrjDCd3mKBNC
51212170000618,2700.0,20704 BARNSLEY MBC,S702JW,True,2018-06-01 01:00:00+01:00,,E08000016,51212170000618,100.0,Vn3FqKRLXTvfBKnMNDf9LHt2
51212170000612,5000.0,20704 BARNSLEY MBC,S702JW,True,2020-04-23 01:00:00+01:00,,E08000016,51212170000612,100.0,kpnFSNdCvcKFmq2MtNkGMmX5
51212170000631,3250.0,20704 BARNSLEY MBC,S702JW,True,2020-10-01 01:00:00+01:00,,E08000016,51212170000631,100.0,BsKHT2fDshxBxFNrxZVBxD25
51212170000583,1725.0,20704 BMBC,S702JW,True,2016-04-18 01:00:00+01:00,,E08000016,51212170000583,100.0,cKNsh5Jd93kNdHPDkRkb2ScD
51212170000584,4850.0,20704 BMBC,S702JW,True,2016-04-18 01:00:00+01:00,,E08000016,51212170000584,100.0,GJcHx3q2bsvNx5vg32b93RZC
51212170000582,1675.0,20704 BMBC,S702JW,True,2017-02-01 00:00:00+00:00,,E08000016,51212170000582,100.0,bvGPvc2JzHkbbzxgKZR5PITC
51212170007917,35750.0,20704 BMBC,S702JW,True,2019-06-13 01:00:00+01:00,,E08000016,51212700007917,93.0,M3NHPbnSmckGpGgHbpQkGdq9
51212170000566,1375.0,20704 BMBC,S702JW,True,2015-04-01 01:00:00+01:00,,E08000016,51212170000566,100.0,tVFkk7bJtsCcxftchVVDj9r5
51212170000567,830.0,20704 BMBC,S702JW,True,2015-04-01 01:00:00+01:00,,E08000016,51212170000567,100.0,5pvPLfZc2CJJBGQSjLTV2b27
51212170000571,1150.0,20704 BMBC,S702JW,True,2015-04-01 01:00:00+01:00,,E08000016,51212170000571,100.0,JRQqq7QqQDLPIcDDnhFzvmZ3
51212170000573,1175.0,20704 BMBC,S702JW,True,2015-04-01 01:00:00+01:00,,E08000016,51212170000573,100.0,brTKZnZI2DprxsXXSr2fQnr3
51212170000580,1575.0,20704 BMBC,S702JW,True,2015-04-01 01:00:00+01:00,,E08000016,51212170000580,100.0,NcQHmIvkxMgJZXmK7p9Pksn2
51212170000581,1575.0,20704 BMBC,S702JW,True,2015-04-01 01:00:00+01:00,,E08000016,51212170000581,100.0,LZFP9mz2HrRGVbNGhBDRCSpF
51212170000588,1425.0,20704 BMBC,S702JW,True,2015-04-01 01:00:00+01:00,,E08000016,51212170000588,100.0,tsFNS7Zn9B2VCcXqVhtpqqD5
51212170000590,4250.0,20704 BMBC,S702JW,True,2020-10-19 01:00:00+01:00,,E08000016,51212170000590,100.0,MFMHVcGHM5zGjKtH2HINTSxF
51212170000616,5000.0,20704 BMBC,S702JW,True,2019-04-30 01:00:00+01:00,,E08000016,51212170000616,100.0,Pks5J5gTFPxbMkDbvFMmq255
51212170000626,1575.0,20704 BMBC,S702JW,True,2019-10-18 01:00:00+01:00,,E08000016,51212170000626,100.0,FZMLdpGrFJCT2cIBL7MnktH3
51212170000591,840.0,20704 BMBC,S702JW,True,2020-05-15 01:00:00+01:00,,E08000016,51212170000591,100.0,NfIRQPJhdXRG9HTKthKM7p3B
51212170007058,1725.0,20704 BMBC,S702TJ,True,2020-08-14 01:00:00+01:00,,E08000016,51212170007058,100.0,LXCIVdGhIXQRpTFHrTdxMGH9
51212170000611,1425.0,20704 BMBC,S702JW,True,2020-04-16 01:00:00+01:00,,E08000016,51212170000611,100.0,ftMsxmhkqZpbPbgnz2MJHkk2
51212170000572,5000.0,20704 BMBC,S702JW,True,2015-04-01 01:00:00+01:00,,E08000016,51212170000572,100.0,nsRnID3SzRBzrnvqNdzG7hp3
51212170000613,810.0,20704 BMBC,S702JW,True,2016-06-01 01:00:00+01:00,,E08000016,51212170000613,100.0,DPqmcdnTZ3IhkmJCkhFqrPtB
51212170000645,10000.0,20704 BMBC,S702JW,True,2017-07-01 01:00:00+01:00,,E08000016,51212170000645,100.0,pRmBVKkLnMXtZvj97TpP7pcD
51212170000570,1425.0,20704 BMBC,S702JW,True,2019-12-31 00:00:00+00:00,,E08000016,51212170000570,100.0,qskcNBrL2vqzFqVfLSBZmSF3
51212170000575,1850.0,20704 BMBC,S702JW,True,2019-12-01 00:00:00+00:00,,E08000016,51212170000575,100.0,h2vIrKMBzMqVQ7fgbckTDcr2
51212170000576,1175.0,20704 BMBC,S702JW,True,2015-12-01 00:00:00+00:00,,E08000016,51212170000576,100.0,vtInDIC7rJrPhvBVNjRDrB55
51212170000628,1725.0,20704 BMBC,S702JW,True,2020-08-08 01:00:00+01:00,,E08000016,51212170000628,100.0,trHkJCgHG3CSV9NRZkv25vz3
